time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths
160,0.055966805277372196,5.935164861313865e-05,0.00011262662489051107,0.898480014598539,4.689451204379554e-06,9.43842790510948e-06,1.7785840963503658e-05,0.04538119642335758
161,0.05596250796350365,5.4957127372262825e-05,0.00010428470328467169,0.8984964941605837,4.341878781021894e-06,8.739167583941599e-06,1.646996280291972e-05,0.04538176145985394
162,0.05595852726277369,5.0888695255474325e-05,9.65600156204378e-05,0.8985117467153289,4.020214299270074e-06,8.09175167883213e-06,1.5251538416058378e-05,0.045382281094890474
163,0.05595484168613142,4.712188051094895e-05,8.94095208759123e-05,0.8985258744525567,3.7224284890510973e-06,7.492382897810218e-06,1.4121186554744501e-05,0.04538276401459854
164,0.05595143001459853,4.363418686131386e-05,8.278542686131381e-05,0.8985389503649643,3.446551102189783e-06,6.937584532846732e-06,1.3074723978102195e-05,0.045383213576642364
165,0.0559482688029197,4.040429394160584e-05,7.665589343065711e-05,0.898551045985401,3.1912770875912407e-06,6.423969883211688e-06,1.2106765233576654e-05,0.045383626131386794
166,0.05594534354744526,3.7414090437956194e-05,7.09810499999998e-05,0.8985622540145973,2.9548369708029234e-06,5.947949627737223e-06,1.1211489576642323e-05,0.04538400642335759
167,0.05594263427737225,3.464452481751823e-05,6.572341226277366e-05,0.8985726372262761,2.736146496350367e-06,5.508152802919718e-06,1.038043400000002e-05,0.045384362189781056
168,0.055940126058394074,3.2079705255474486e-05,6.0853646277372216e-05,0.898582237226278,2.5334714233576632e-06,5.1005907080292e-06,9.610377021897801e-06,0.045384694160583876
169,0.05593780238686122,2.9704486423357684e-05,5.634745627737224e-05,0.8985911350364961,2.345924328467155e-06,4.7227080437956225e-06,8.899486291970802e-06,0.04538499810218985
170,0.05593565240145988,2.750505733576641e-05,5.217751518248184e-05,0.8985993832116791,2.172080722627736e-06,4.373398182481744e-06,8.241723554744504e-06,0.04538527759124084
171,0.05593365905839409,2.546891008029196e-05,4.831565467153288e-05,0.8986070175182471,2.011332014598544e-06,4.049795532846719e-06,7.631579364963508e-06,0.04538553474452545
172,0.05593181578832115,2.358181140875913e-05,4.473905839416063e-05,0.8986141021897809,1.8624652846715311e-06,3.7509716277372213e-06,7.066010781021892e-06,0.04538577715328469
173,0.055930110795620505,2.183456009489052e-05,4.142388248175182e-05,0.8986206138686134,1.7246637080291973e-06,3.4726148175182464e-06,6.543066364963502e-06,0.04538600240875916
174,0.055928528656934325,2.0217567810218955e-05,3.8349924452554765e-05,0.8986267065693427,1.5967616423357654e-06,3.2149214598540146e-06,6.058087350364964e-06,0.045386217153284704
175,0.055927066525547464,1.872036447445256e-05,3.5502909854014565e-05,0.8986323102189777,1.4782524379562039e-06,2.9767749197080223e-06,5.6088187153284775e-06,0.045386415182481724
176,0.05592571213868611,1.733399595620437e-05,3.287352102189788e-05,0.8986374839416049,1.368664642335767e-06,2.755891270072991e-06,5.192191715328469e-06,0.04538659306569345
177,0.055924455554744436,1.604989710218981e-05,3.0447651459853993e-05,0.8986422948905105,1.2672257737226293e-06,2.552507999999997e-06,4.809000562043794e-06,0.04538674927007308
178,0.05592329206569349,1.4861220080291944e-05,2.820225083941605e-05,0.898646769343066,1.1739488321167885e-06,2.3637854014598495e-06,4.455726883211676e-06,0.045386891970802944
179,0.055922214430656945,1.3761196116788334e-05,2.612357923357665e-05,0.8986508678832117,1.087148861313869e-06,2.188349693430656e-06,4.125262094890511e-06,0.0453870220437956
180,0.05592121620437944,1.2743431518248171e-05,2.4196218197080304e-05,0.8986547051094901,1.007131722627736e-06,2.026104540145987e-06,3.820859664233581e-06,0.04538714576642338
181,0.05592029288321171,1.1801106759124093e-05,2.2405924321167908e-05,0.898658232116789,9.328484744525525e-07,1.8760279781021875e-06,3.5379349416058383e-06,0.045387263868613144
182,0.05591943789051082,1.0928366569343074e-05,2.0740361328467165e-05,0.8986615167883231,8.639052116788311e-07,1.737216021897807e-06,3.2760199124087687e-06,0.045387380000000054
183,0.05591864918248169,1.011973332846716e-05,1.9192213919708037e-05,0.8986645489051096,7.996168321167874e-07,1.6088699124087604e-06,3.0324327810219045e-06,0.045387495547445304
184,0.05591791654744523,9.370009204379573e-06,1.77545186642336e-05,0.8986673496350369,7.400227518248181e-07,1.4897605474452518e-06,2.8061093576642344e-06,0.045387606934306546
185,0.05591724194890511,8.67513402189782e-06,1.6420615525547417e-05,0.898669946715329,6.846798613138676e-07,1.3789946204379533e-06,2.5959560437956237e-06,0.04538771562043795
186,0.055916617854014576,8.031123627737216e-06,1.518444965693431e-05,0.8986723394160582,6.332836642335759e-07,1.2760186058394132e-06,2.4001321021897874e-06,0.045387819197080286
187,0.05591604224087591,7.434156948905105e-06,1.4040782773722581e-05,0.8986745686131391,5.854781021897812e-07,1.1814037445255457e-06,2.2195159270073048e-06,0.04538791620437955
188,0.05591550926277373,6.88112507299271e-06,1.2985900299270071e-05,0.898676618978102,5.414746204379561e-07,1.0932523576642319e-06,2.051527058394167e-06,0.04538800635036498
189,0.05591501620437946,6.36826077372262e-06,1.20169041970803e-05,0.8986785116788315,5.009269999999991e-07,1.012150240875911e-06,1.897709832116794e-06,0.04538808226277371
190,0.05591455956934309,5.893286452554741e-06,1.1131292467153296e-05,0.8986802788321177,4.634670802919696e-07,9.362958832116746e-07,1.7573812627737243e-06,0.04538814248175181
191,0.055914135423357686,5.454353978102184e-06,1.0326269722627729e-05,0.8986819116788326,4.293937007299262e-07,8.668218978102179e-07,1.6295983795620485e-06,0.04538818218978101
192,0.05591373960583933,5.047813927007295e-06,9.591010072992711e-06,0.898683397080292,3.981624087591241e-07,8.034152481751817e-07,1.5117448175182524e-06,0.04538820686131383
193,0.055913371671532916,4.6732275985401435e-06,8.911959525547435e-06,0.8986848233576624,3.7000416788321235e-07,7.44606072992701e-07,1.40768380291971e-06,0.04538822160583938
194,0.055913025635036376,4.327927204379567e-06,8.286292562043778e-06,0.8986861394160571,3.439047153284662e-07,6.907375401459846e-07,1.3077457810219e-06,0.045388229635036484
